"","value.var"
"gbp",0.0451742066785889
"LOC106606704",0.0444780310245237
"ptges",0.0439753467701298
"LOC106569472",-0.0437149030235282
"LOC106582113",-0.0432022688005072
"rps5",0.043183489595389
"rbp4",0.0430476525200429
"LOC106568731",0.0427381044704308
"LOC100196464",0.0424329615139849
"prr12b",-0.0423977170920807
"nfil3",0.0423789849333001
"LOC106583894",-0.0421080585273236
"LOC106607038",0.0419712243911195
"LOC100194725",0.0418021257937075
"LOC106600932",0.0417833660943747
"LOC106609542",0.0417386406851052
"LOC106588303",0.0417165419949643
"LOC106602563",0.0416331838806209
"LOC106583494",0.0416304027133142
"LOC123732474",0.0415966206761713
"LOC106607037",0.0415707137881898
"LOC106587148",-0.0415417857478788
"LOC106574971",0.0414162828695586
"rs3a",0.0412308343750586
"ccn1",0.041190122935226
"znf385a",-0.0411522434694213
"LOC106581959",0.0411438131994105
"LOC106575722",-0.0410920486912643
"cef10",0.0409692350364966
"LOC106590017",-0.0409621133360146
"fgl1",0.0408139142884942
"rpl7a",0.0407301552160422
"derl3",0.0406696562331547
"LOC106591788",0.0406391645727981
"LOC106600818",0.040625993235788
"LOC106610732",-0.040624675123106
"LOC106574883",-0.040549210993142
"LOC106572900",0.0403951480823964
"LOC106566014",0.0403889006821303
"LOC106600764",0.0403489891331251
"LOC106565539",0.040327173136836
"rl23",0.0402448113949131
"LOC106586796",0.04024088704164
"LOC106586344",-0.0402125321891997
"LOC106584198",0.0401108837385062
"LOC100286414",0.0400649607217848
"tfpi2",0.0400582612631238
"catk",0.0400183255733614
"LOC106608597",0.0399758477238719
"LOC106568945",0.0399026468217403
"LOC106576379",0.0398709873436611
"LOC106588920",-0.039855947980054
"LOC106607636",-0.0398025526402096
"LOC106573907",0.0397886313695692
"LOC106587813",0.0397496361726741
"eif3m",0.0396837598811641
"LOC106612713",-0.0396799095534716
"sp7",-0.0396566084768376
"btg2",0.0396208513500049
"junb",0.0396157019514328
"hp",0.0396053954873866
"LOC106591770",-0.0396040786570499
"LOC106569929",-0.0395166020389012
"LOC106571140",-0.0395053210253019
"LOC106566811",0.0394834971671519
"entpd5a",-0.0394764914915729
"LOC123743715",-0.0393947756389652
"LOC106588396",-0.0393202333201761
"rps9",0.0392535950123247
"LOC106592627",-0.0391263125754102
"rpl28",0.0391253560181918
"LOC106605814",-0.0390754743118566
"LOC106562787",0.0390427390966669
"LOC123727322",-0.0390142282148422
"LOC106573930",0.0390121752608709
"LOC123732968",0.038932745425128
"LOC106564566",0.0388684888734962
"LOC106612582",0.038849556003929
"LOC106568893",0.0388271440061351
"LOC106604089",-0.0388176692984299
"LOC106568066",0.0387348987447574
"LOC106573332",0.0387305953350029
"LOC106613608",0.0387252808947363
"col27a1a",-0.0387247929893877
"LOC106609058",0.0386888912412443
"LOC106581015",-0.0386295789563157
"LOC123724188",0.0385850532106052
"LOC106591784",-0.0385841011796469
"hba",0.0384903407620241
"LOC106570967",-0.0384640568753973
"LOC106568015",-0.03834938467661
"LOC106601034",0.0383098393662601
