"","value.var"
"A0A1S3LCG4",-0.406102431549304
"A0A1S3L6V7",-0.376420630435209
"A0A1S3S0V5",0.332990722520013
"A0A1S3RM75",-0.318022447874083
"A0A1S3PKN1",-0.310666989377247
"A0A1S3LR80",-0.206617729651982
"A0A1S3PFA6",-0.203557734475578
"B5RI63",0.194871112258991
"A0A1S3LGI2",-0.186326131474027
"A0A1S3N0Q4",0.184656364695316
"B5X1E4",-0.173296187334779
"A0A1S3LS19",-0.16921525464878
"B5DGG3",0.166644711956841
"A0A1S3LE09",0.142705174841134
"A0A1S3P3Z5",-0.128837785840431
"A0A1S3QDI7",-0.122101670096844
"A0A1S3S9N9",-0.0996251718883182
"A0A1S3NV97",0.0949108599094777
"A0A1S3RT68",-0.0948494110744983
"A0A1S3SCX8",-0.0894066442169195
"A0A1S3S9N0",-0.0797343509186412
"A0A1S3MA66",0.0525123294270542
"C0HAB6",-0.0512941359963929
"A0A1S3NSD7",-0.049726042670752
"A0A1S3PHK1",0.0489565764205678
"A0A1S3QN44",-0.0429424676190133
"B5X1W2",-0.0275407159526481
"A0A1S3MLI2",-0.0162429868514043
"B5X1S2",0.0111948543518723
"C0H911",-0.00986568239731545
