Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A1S3Q8P5   ;Retinoic acid receptor responder protein 2;LOC100194683;;4817,31;5837,89;;4141,07;;;;;;;;;;;;;;;5317,39;;;5238,02;5068,63;5070,051667
A0A1S3Q8P7   ;Poly(U)-binding-splicing factor PUF60-like isoform X1;LOC106590178;Belongs to the RRM half pint family;146996;160714;175325;176179;123479;129972;135320;115613;131713;127521;113614;130437;265308;243805;208367;286869;218332;170740;153599;169903;180072;175349;167485;177819,4231
A0A1S3Q8P8   ;Large ribosomal subunit protein uL15m;LOC106590151;Belongs to the universal ribosomal protein uL15 family;37668,2;57349,1;44038,3;44129,2;51651,5;56234,8;49071,2;41465,4;36102,5;41602,6;42697,6;40849,4;;;;;;54426;43258,5;48748,5;52619,3;;42020,9;46113,70588
A0A1S3Q8Q2   ;Protein scribble homolog isoform X1;LOC106590179;;79415,4;65911,3;79567,5;72019,3;81351,9;79895,7;66347;74035,4;59126,2;60847,5;75090,6;71498,5;93521,8;14444,1;23490,5;21878;21594,5;83195,1;71299,1;68215,9;93518,6;69223,1;69177,7;61877,09615
A0A1S3Q8S2   ;Tryptase-like;LOC106589897;;108258;91764;105098;26194,3;55407,8;44511,1;49279,8;22301,8;47238,2;38377,7;22207,9;38193,8;54396,5;51055,7;51016,2;302324;259470;24603;20313,7;33878,3;18411,2;17925,8;33671,8;80826,01154
A0A1S3Q8S9   ;DnaJ homolog subfamily C member 13-like isoform X1;LOC106590186;;93876,6;55555,7;128153;52697;727820;115816;100919;66513,3;55663,2;166498;169996;123191;;;;;;132681;128610;221814;88216,9;178816;72712,5;141136,5553
A0A1S3Q8V4   ;ATP-binding cassette sub-family F member 2;LOC106590172;Belongs to the ABC transporter superfamily. ABCF family. EF3 subfamily;93200,5;112886;92660;92388,9;81532,1;87539;122467;101702;141616;107475;111621;115421;;;;;;95461,4;94567,6;97039;82888,5;91202,2;96404,4;101003,9778
A0A1S3Q8W5   ;Sorting nexin;snx5;Belongs to the sorting nexin family;104665;71141,1;92937,1;94536,3;121388;127699;103085;90626,9;93090,9;77859,3;110557;101826;130009;134779;99060,6;96655,5;124890;105040;110192;96814,2;122689;110909;110879;109216,1885
A0A1S3Q8W8   ;Eukaryotic translation initiation factor 4 gamma 3-like isoform X4;LOC106590197;;;;10718,6;8206,57;;;10590,5;8742,24;;24188,8;12972,1;;;;;;;;;11717;;;;12447,97286
A0A1S3Q8W9   ;Retinoic acid receptor responder protein 2;LOC106590176;;20643,3;22841,9;32170;22454,3;15521,8;16199;10392,9;19884,2;21568,8;8709,02;;14779,7;;;;;;17432,1;20574,7;25076,7;29091;22431;25486,8;20309,24824
A0A1S3Q8Y1   ;protein disulfide-isomerase;tmx3;;36079,6;42450,6;39839;63311,1;74248,3;48184,9;33968,8;40012,4;29366;54193;34338;26273;21540,5;19596,5;19428,8;33844,9;26337,2;51189;44633,3;61990,5;21631,6;44253;41269,2;37046,46923
A0A1S3Q8Z2   ;Carbonic anhydrase;LOC106590208;Belongs to the alpha-carbonic anhydrase family;184209;119445;113719;282547;436538;604807;206688;208263;210884;197142;144966;122683;393656;346550;342881;325217;243880;116975;125509;139357;128909;96461,6;111868;235217,2923
A0A1S3Q900   ;Protein CDV3 homolog;LOC100380682;Belongs to the CDV3 family;86510;77920,2;70556,4;86434;70577,3;72561,9;41499,1;28720,2;57917,8;92069,9;64969,1;29180,7;13760,7;20345,8;19606,6;37263,7;21913,8;122429;92667,3;74809,4;218246;149373;82057,7;65889,00769
A0A1S3Q906   ;DNA topoisomerase 2-binding protein 1-A-like;LOC106590185;;10124,4;5974,11;8931,33;7838,84;11807,2;9862,5;15422,8;10937,1;15875,9;17892,7;19796,8;11469,8;;;2802,82;;;8252,38;8480,14;7993,54;;5436,1;11315;10567,41444
A0A1S3Q915   ;Ras-related protein Ral-A isoform X2;LOC106590204;;8712,45;16158,1;11856,9;16428,5;14216,4;9248,72;8524,19;7000,05;3996,24;2440,53;;;;;;;;10968,2;;13139;;6589,86;13931,1;10229,30286
A0A1S3Q916   ;Phosphoribosyltransferase domain-containing protein 1-like isoform X2;LOC106590221;;42831,9;51393,4;41141;46748,3;31257,2;28599,4;29814,4;57725,2;26698,9;29843,1;48885,7;50201,5;9763,14;7580,93;11271,4;;8823,87;28670,9;24679,8;21396,8;34109,5;22569,9;22216,5;29898,64957
