Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A142L098   ;RNA helicase;MDA5;Belongs to the helicase family. RLR subfamily;76479,3;60861,7;71521,7;80976,1;101268;87895,9;88583,5;80647,2;84163,3;95996,3;85194,1;81137,5;6514,84;6860,89;10441;7218,14;9941,95;70052,6;72145,5;78785,8;76318,3;76383,9;81123,9;58399,63808
A0A1S2WYT7   ;UMP-CMP kinase 2, mitochondrial;cmpk2;Belongs to the thymidylate kinase family;166507;100740;103912;90792,9;133897;138250;169578;142784;158174;182483;159749;177951;;;;;;117075;154403;138108;119878;119196;119643;138506,7167
A0A1S2WYU5   ;IGF binding protein-related protein 1 precursor;igfbprp1;;24323,6;;22882;18494,3;;;17849,6;;;;17953,6;16497,4;;;;;;17694;16623,7;;21199,2;;;19303,75
A0A1S2X0R2   ;Transforming growth factor-beta-induced protein ig-h3;tgfbi;;34106,9;30087,8;27472,4;18058,1;12101,9;;12818,5;22944,9;15857,8;8309,81;20294,5;26467,4;35093,3;37301,1;47968,1;40132,9;41486,4;18235,4;18079,6;22511,6;21116,7;19847,9;16979,8;27143,7924
A0A1S2X3Z6   ;Fructose-bisphosphate aldolase;LOC100194623;Belongs to the class I fructose-bisphosphate aldolase family;7722,06;5700,81;11522,3;;4663,27;3835,03;19070,4;18319,7;20484,7;14646,9;8169,88;19307,9;5411,44;5292,83;5386,33;;3912;18161,8;;;;;;10495,88059
A0A1S2X433   ;Antigen KI-67;ki67;;13765;;10317,5;;;;;;;;;6086,98;;;;;;11359,6;8534,44;7691,42;17627,3;8934,94;;10539,6475
A0A1S2X522   ;Beta-enolase;LOC100196671;Belongs to the enolase family;17188,4;12160,1;29955,7;14876,1;;14799;33915,6;52141;31200,6;32512,1;22772,9;37046,2;63773,5;54621,1;29176,4;43562,1;71742;33552,9;16431,5;;19150,7;;;34790,64091
A0A1S2X8A4   ;Peroxiredoxin-like 2A;selu;Belongs to the peroxiredoxin-like PRXL2 family. PRXL2A subfamily;7635,72;7395,7;5135,58;7475,99;6899,36;7003,77;6069,49;9487,99;6001,31;11175,9;5587,35;5802,37;;;;;;9416,81;8227,26;12869,7;5888,21;6086,36;8996,91;7369,286316
A0A1S3KHW8   ;Putative hydroxypyruvate isomerase;hyi;Belongs to the hyi family;19277,4;34128,5;21023,6;35986,6;22330,1;23441,9;12443,5;12342,5;14675,6;;12372,8;16555,6;15140,5;12774,9;13008,9;;21304,5;12047,2;18527,1;17897,7;;;19252,3;18845,265
A0A1S3KHZ2   ;ubiquitinyl hydrolase 1;LOC106560231;Belongs to the peptidase C19 family;15092,6;33021,9;26223,9;31438,1;29970,8;27447,9;41701,5;44946,2;46560,4;34306,5;40046,9;42610,8;;;;;;23509,4;27009,9;26492,6;;27992,9;29844,5;32248,04706
A0A1S3KI41   ;Anaphase-promoting complex subunit 4;anapc4;;147166;216871;181358;206761;203020;205683;178836;166318;193676;279120;190559;185404;;;;46130,9;;188374;179096;239918;121253;164713;205988;184223,4158
A0A1S3KI99   ;E3 ubiquitin-protein ligase LNX-like isoform X2;LOC106560268;;11172,6;18747,4;14002,6;12930,3;15399,6;12973,5;16917,4;12713,7;14434;9243,16;11725,9;12470,5;;;;;;13060,6;10281,8;13114,1;14220,9;14804,6;13494,4;13428,17
A0A1S3KIB9   ;Ubiquitin carboxyl-terminal hydrolase;uchl5;Belongs to the peptidase C12 family;186435;136581;169022;110893;199024;178450;211074;168084;176591;184078;189732;190522;19670,1;;;;31197,5;189650;193054;158286;93716;145902;165941;143434,9955
A0A1S3KIC1   ;Exocyst complex component 1-like isoform X1;LOC106560275;Belongs to the SEC3 family;9012,12;;;;;;;;;;;;;;;;;;;;;;;9012,12
A0A1S3KID5   ;Uncharacterized protein LOC106560280 isoform X2;LOC106560280;"In the C-terminal section; belongs to the AIR carboxylase family. Class II subfamily";405775;464134;384640;540728;539859;475486;470610;499140;537710;533010;432166;538390;292036;290424;403355;172995;260726;448670;449773;391909;363860;388601;445781;406714,8462
A0A1S3KIE3   ;Nucleoprotein TPR-like isoform X1;LOC106560285;;111381;87672,6;108632;96326;96090,9;91600,2;91835,1;83085,6;85415,7;93663,6;92030,4;92306,2;28084,4;29625,4;32992,3;46912,7;33550,4;89546,4;89931;93000;114539;102532;88837;76175,63462
A0A1S3KIF4   ;Plasminogen activator inhibitor 1 RNA-binding protein-like isoform X1;LOC106560288;Belongs to the SERBP1-HABP4 family;227097;135158;200848;202244;258988;225863;284778;255356;257396;277157;295364;247463;116831;108009;259876;130882;182808;332182;302362;245969;370222;273907;277782;231869,9615
A0A1S3KIH5   ;Glutaredoxin-2, mitochondrial;glrx2;Belongs to the glutaredoxin family;;;;;;;;;;;;;15466,2;11088,2;15463,6;;;;;;;;;15290,475
A0A1S3KIM4   ;Sec1 family domain-containing protein 2-like;LOC106560266;Belongs to the STXBP/unc-18/SEC1 family;27734,9;31763,7;31755,1;30162,8;26906,6;28224,6;36541,1;37966,4;35973,2;34910;42949;44020,5;10473,2;11151,8;7627,65;3503,1;8948,23;24617,8;27218;23662,5;17797,5;29027,2;32298,4;24989,6312
A0A1S3KIP6   ;Guanine nucleotide-binding protein subunit gamma;LOC106560325;Belongs to the G protein gamma family;42443,5;25704,5;32899,5;28714,1;52934;39228,3;28220,4;30745,4;31702,7;43003,6;41314,9;40540,3;44120,2;44324,5;25532,3;39122;37368,4;52253,5;46455,2;49608,6;39191,5;50635;45011,1;38817,21538
A0A1S3KIR6   ;Mediator of RNA polymerase II transcription subunit 8;med8;Belongs to the Mediator complex subunit 8 family;13386,8;12474,4;;9581;11141,4;11240,2;11812,4;12911,2;12584,1;12739,7;12604,2;11475,2;;9247,73;;;12141;13757,3;13961,1;11859,5;;13055,1;;12446,36474
A0A1S3KIS1   ;Receptor-type tyrosine-protein phosphatase F;ptprf;Belongs to the protein-tyrosine phosphatase family. Receptor class 2A subfamily;9780,56;8537,05;8865,5;9076,32;14554,8;10756,5;11270,6;11305,5;14055,2;10957,9;13903,2;16225,2;;;;;;;14405,7;;;;;11151,99429
A0A1S3KIS6   ;Receptor-type tyrosine-protein phosphatase F;ptprf;Belongs to the protein-tyrosine phosphatase family. Receptor class 2A subfamily;21124,5;;;12466,7;;;;;10475,9;;;;;9989,14;9045,15;;;;;;;;;12620,278
A0A1S3KIW2   ;Growth hormone-inducible transmembrane protein-like;LOC106560291;Belongs to the BI1 family;;;;;;;;;;9898,25;11710,3;;;;;;;9228,36;;16472,2;;11040,1;15992,2;12390,235
A0A1S3KIX0   ;Pyrroline-5-carboxylate reductase 3;pycrl;Belongs to the pyrroline-5-carboxylate reductase family;42132,8;44995,4;40242,2;44028,1;38982,9;37850;37028;39430,1;43890,5;25605,1;31667,9;47151,1;18696,4;24898,5;27101,6;9386,13;15149,4;37265,6;39168,9;42121,6;37628,6;46149,4;35321,7;33845,2452
A0A1S3KIX9   ;Desmoglein-2-like;LOC106560363;;136218;102596;106671;40140,3;56594,2;68306,3;75121,2;73215,7;77267,9;114189;119358;109178;176240;165240;177241;171868;195879;144793;132097;93881,8;149903;128048;119389;126296,8615
A0A1S3KIY4   ;Exocyst complex component 2;exoc2;Belongs to the SEC5 family;28072,2;35345,9;40195,3;44746,2;29436,4;30085,4;47811,1;51781,6;56165,4;41102,7;45510;45986;6305,31;;4485,39;;;49110;49735,4;45413,2;30366,5;49420,4;51231,7;37566,12
A0A1S3KJ28   ;Transthyretin;ttr;Belongs to the transthyretin family;193703;144905;237649;97054,2;68369,6;51002,4;60907,7;80952;87539;70790,7;141225;131669;71282;77594,4;82639,5;77889;120775;148970;106300;161492;99468,2;149733;131712;109425,2385
A0A1S3KJ30   ;GDP-L-fucose synthase;LOC106560379;Belongs to the NAD(P)-dependent epimerase/dehydratase family. Fucose synthase subfamily;802301;194099;678167;58120,3;270472;410625;252228;156938;113363;285811;193523;161778;7606,34;;;14717,4;17586;642770;549195;631719;527085;499587;438376;301502,667
A0A1S3KJ33   ;Desmocollin-2-like isoform X1;LOC106560389;;75752,2;66347,2;60703,1;42391,8;36732,6;39204,9;61341,8;59987,6;73900,9;77587,8;71787,1;74382,9;86139;95682,3;116320;108700;132015;68401,9;61580,6;51779,5;76078,1;55587,4;53100,2;76723,49615
A0A1S3KJ37   ;Gelsolin-like;LOC106560322;;3825940;3667990;4185000;3193160;3499890;4020750;3649010;3955320;3359680;5183070;4191010;3645630;5005390;4292160;5477300;4170480;4134100;4295880;4243920;3594480;5052860;4738260;4715580;4212308,462
A0A1S3KJ44   ;Desmoglein-2-like isoform X3;LOC106560387;;179688;147097;155889;204306;223804;197869;167472;163029;164364;327897;207534;176731;1647680;1578140;1456990;1370740;1529190;341441;317236;338509;453929;291035;278926;627804,0769
A0A1S3KJ53   ;UPF0598 protein C8orf82 homolog isoform X1;cssa10h8orf82;Belongs to the UPF0598 family;16195,3;16194,2;13049,4;11658,9;8697,94;12273,6;9906,13;10951,6;10860,4;10007,7;8053,77;12134,4;;;;;;;9226,18;;;;;11477,65538
A0A1S3KJ79   ;Terminal uridylyltransferase 4-like isoform X4;LOC106560426;;6685,58;12749,9;7194,57;9632,39;11753,9;6804,63;12942,9;10966,9;12275;6222,76;19958,5;10179,1;;;;;;5650,77;6389,22;8180,43;5871,74;9012,34;8481,43;9497,336667
A0A1S3KJ87   ;[histone H3]-trimethyl-L-lysine(9) demethylase;kdm4a;Belongs to the JHDM3 histone demethylase family;56527,9;31050,4;61237;36808,9;59869,1;56096,1;61345,9;46493,9;45071,5;73358,3;76420,3;67395,4;;;;;3932,39;56592,3;59114,7;71957;61714,1;61163,3;66366,2;50691,7881
A0A1S3KJ89   ;Carnitine O-palmitoyltransferase 2, mitochondrial;cpt2;Belongs to the carnitine/choline acetyltransferase family;34230,7;40191,9;37371,3;43757,2;33931,4;46686,8;57740,7;58400,3;63405,7;46212,3;47088,8;42359,9;;;;;;18687,2;20440,9;22566,1;25240,9;22220,4;21529,3;37892,32222
A0A1S3KJ97   ;Protein ERGIC-53-like;LOC106560436;;13670;15074,6;;18005,9;11098,5;;7586,05;8566,56;7853,43;;;11327,3;;;;;;;10863,3;;;;;11560,62667
A0A1S3KJB0   ;Histone-binding protein N1/N2-like isoform X4;LOC106560435;Belongs to the NASP family;87911,5;63127,6;79559,6;64147,4;103571;95338,8;83688,1;62602,7;57564,9;119159;95287,2;73591,5;5818,36;4035,64;8753,02;21818,5;9848,92;100800;99386,2;90383;94144,4;109407;98841,8;63893,43
A0A1S3KJC2   ;Desmoplakin-like isoform X1;LOC106560365;Belongs to the plakin or cytolinker family;634628;559693;560846;751045;802330;870052;852416;883133;733120;1299200;1053550;820928;1259950;1284120;1295420;966020;1201450;802781;899055;883986;839947;775013;871912;933339,2308
A0A1S3KJC7   ;GDP-mannose 4,6-dehydratase;gmds;Belongs to the NAD(P)-dependent epimerase/dehydratase family. GDP-mannose 4,6-dehydratase subfamily;477187;450124;556432;494592;621612;638172;481778;479649;573502;487374;437917;479133;57791,7;54592,9;23856,2;27824,8;44068,8;520728;588762;689877;396809;559296;690043;381837,5769
A0A1S3KJD2   ;Syntaxin-binding protein 3;stxbp3;Belongs to the STXBP/unc-18/SEC1 family;55290,7;62317,8;72785,7;56881,8;49592,2;62015,4;65626,3;65658,3;69631,6;65478,9;67662,1;67096,6;9816,29;16059,6;18826,9;13115,5;14898,4;67506,2;73351,1;74477,6;67757;82952,4;82755;50991,20346
A0A1S3KJE3   ;Valacyclovir hydrolase isoform X2;bphl;;;;;7866,74;;;8049,15;11263,2;9707,28;;;10949,5;;;;;;;;;;;;9567,174
A0A1S3KJF8   ;Nucleoporin p54 isoform X1;nup54;;58971,5;48301,6;58449,9;48995,3;62639,8;56605,2;72830,3;60738,9;60478,1;70787,8;80929,1;70875,7;8630,07;9469,78;13664;;11225;50819,5;50571,7;55006,9;58286,4;57335,3;60369,1;49627,30652
A0A1S3KJH9   ;Adenylate kinase 4, mitochondrial;ak4;Belongs to the adenylate kinase family. AK3 subfamily;99874;83167,6;88520;85162,9;115787;107190;112291;122493;115883;107436;114190;99164,3;;;;;11274,1;51612,4;55567,1;35219;60961,7;59574,5;58618,1;79685,643
A0A1S3KJJ8   ;Nicotinate phosphoribosyltransferase;naprt;Belongs to the NAPRTase family;;16422;16073,9;13935,6;23546;19805,5;26449,3;21466,8;16362,4;15769,7;17564,5;16046,2;;;;;;;14888,5;14759,3;;;15426,4;17155,73933
A0A1S3KJL4   ;ubiquitinyl hydrolase 1;LOC106560416;Belongs to the peptidase C19 family;47206,6;57455,3;57211;72673,3;78917,4;58066,8;51775,8;52655,4;60367,5;67402,3;70500;53199,5;160121;128917;203351;189369;190488;67358,4;64329,6;59878,5;61428,2;57419,2;56825,5;93816,58846
A0A1S3KJN7   ;Origin recognition complex subunit 1;orc1;Belongs to the ORC1 family;4920,97;5043,03;4966,27;3457,77;4864,89;4990,74;5032,61;6381,05;5642,34;3537,25;4918,7;4885,98;;;;;;5086,19;5327,14;;3911,44;2937,72;4427,73;4725,401176
A0A1S3KJP0   ;Non-specific lipid-transfer protein-like;LOC106560430;;26679,8;30854,9;27137,6;20125,4;;14943,6;15749,6;14582,1;14737,9;22053,8;14859,7;17522,8;;;;;;19261,9;13239;13833,8;;;;18970,13571
A0A1S3KJP7   ;Exocyst complex component;LOC106560516;Belongs to the SEC15 family;35640,3;29668,9;42446,6;29373,3;40836,9;43156,4;49470,8;47217,8;37213,2;48524,7;57657,9;49523,2;;;7402,81;;3391,44;56035,8;53576,5;52567;41142,1;53384,6;52735,2;40050,12619
A0A1S3KJQ3   ;Zinc finger protein 638-like;LOC106560508;;439407;184860;102107;659381;909452;999933;75857,6;71999,8;120046;78875,6;68742,9;77458,4;48004,8;50718,4;53214,1;73044,4;70509,2;65088,4;76907,9;63385,7;92379,8;68092,4;75922,2;183213
A0A1S3KJQ7   ;Pre-mRNA-splicing factor 38A;prpf38a;Belongs to the PRP38 family;52213,7;31270,8;47499,8;30732,4;49276,2;48135,6;35510,4;33743;19730,4;83539,2;44778,6;30763,1;70075,6;63683,2;67343,5;50807,1;57967,3;63057;53340,4;60736,1;72188,6;67360,9;67655,3;52973,37692
A0A1S3KJR5   ;AP-1 complex subunit mu-2-like isoform X1;LOC106560519;Belongs to the adaptor complexes medium subunit family;65605,9;76057,8;66742,8;77727;77411,2;73722,8;76321,5;71975,9;87733,4;70808,6;76845,3;70577,5;;;2897,1;;;57297,8;63414,7;72079,9;45834,8;57775,6;68412,9;63243,535
A0A1S3KJT2   ;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1;ddah1;Belongs to the DDAH family;217393;225317;210804;365242;250765;235301;340550;540990;364716;272241;363267;459027;20866,3;21782,4;22631;21069,1;30985,5;254098;203426;166259;215511;218872;219056;204518,9115
A0A1S3KJT4   ;Tetratricopeptide repeat protein 4;ttc4;Belongs to the TTC4 family;6769,48;;8498,58;;9000,17;6021,64;6882,65;8198,27;6478,96;10509,3;8036,26;8648,72;;;;;;11099,1;7118,8;7839,36;14101,7;10839,3;9194,12;8702,275625
A0A1S3KJU0   ;Tetratricopeptide repeat protein 22;ttc22;;19588,8;27377,1;24319,9;18780,1;17429;19616,6;27558,7;26046,4;31412,5;28516;19562,3;24559;;;;;;22410,2;24322,2;30518,8;;20189,7;24042;23897,01765
A0A1S3KJU3   ;TRMT1-like protein;trmt1l;Belongs to the class I-like SAM-binding methyltransferase superfamily. Trm1 family;16210,5;18967,2;15609,3;17719,5;16209,4;13523,1;14731,1;18143,1;18562,9;22305;15390,1;14197,1;;;8085,77;;;17448,3;15068,1;15350,9;;15728;14226,6;15188,4275
A0A1S3KJV8   ;Glutamine synthetase;LOC106560331;Belongs to the glutamine synthetase family;244000;237123;257951;171899;142476;167860;225203;204864;178562;181002;170627;199141;200619;207673;183708;207864;273303;193172;205295;197116;166891;174736;199096;202076,2692
A0A1S3KJX9   ;protein-tyrosine-phosphatase;ptprc;;54002,3;37761,6;53154,3;60665,1;76736;49622,2;39301;44310,9;39276,5;40250,2;51279,7;58200,4;28181,8;32666,7;30787,8;64842;52649,2;69164,5;74952,9;92069,6;72460,6;83834,6;78215,2;55958,39615
A0A1S3KJY1   ;Dedicator of cytokinesis protein 7-like isoform X1;LOC106560483;;14032,8;11855,8;20522,5;20366,6;25362,8;14115,8;29491;33469,1;28319,9;29742,3;27485,6;29618,9;;;;;;24668;22642,1;27489;12801,2;27525,6;25653,5;23620,13889
A0A1S3KJY8   ;Cysteine protease;atg4c;Belongs to the peptidase C54 family;6332,32;5397,49;5595,79;5806,16;6360,44;6216,9;;4484,86;5154,81;6654,88;7448,81;7623,55;;;;;;;6361,35;;;6072,73;4056,57;5969,047143
A0A1S3KJY9   ;Dedicator of cytokinesis protein 7-like;LOC106560490;Belongs to the DOCK family;28316,2;39027,9;26168,5;32516,8;23635;23089,5;35836,2;44446,9;39574;51037,8;45876,7;39459,1;;;;;;42811,9;34675,2;36846,3;26082,9;54726,4;31795,6;36440,16111
A0A1S3KJZ4   ;Prohibitin;LOC106560578;Belongs to the prohibitin family;6397,35;13363,9;15186,6;18837;11765;29004,2;17893,5;21015,6;11641,7;34660,5;24020,9;19448,4;7377,36;;;;;26911;34020,2;41707,3;18972,2;42854,6;45076,3;23165,97947
A0A1S3KK04   ;Vesicle transport protein USE1;use1;Belongs to the USE1 family;6610,28;5046,96;12027,9;5523,05;;;;;;;;;5012,23;;;;9356,45;;6429,92;;;;;6846,333333
A0A1S3KK07   ;Tryptophan--tRNA ligase, cytoplasmic;wars;Belongs to the class-I aminoacyl-tRNA synthetase family;129092;94876,6;121889;89244,1;131069;98048,6;107508;78464,7;91079,3;131319;97639,1;102829;109391;127995;106616;115732;139364;86357,8;93745;107731;88448;92208,8;112159;109712,4231
A0A1S3KK08   ;Torsin-1A-interacting protein 2-like;LOC106560502;Belongs to the TOR1AIP family;111278;86041,6;106967;96455,6;106283;83725,7;63965,9;70620;73313,8;91883,2;83798,8;80809,6;41579,7;43244,8;50207,3;89529,5;110517;104162;86723,1;104544;118370;106031;81121,2;86412,35769
A0A1S3KK20   ;RAB6-interacting golgin;gorab;Belongs to the GORAB family;12759,3;10845,7;14080,6;;;7793,05;9481,36;;;;;11789,6;;;;;;12245,9;;15169,2;;;;11770,58875
A0A1S3KK24   ;Histidine-rich glycoprotein-like;LOC106560589;;7001800;4116090;5667750;2877450;3670960;2889910;2979100;3374960;2530400;4682960;4589180;3266130;1964650;1742620;1888500;3209730;3585350;5836650;4373970;5708270;7782240;5055450;4367820;3912638,462
A0A1S3KK60   ;Hemicentin-1-like isoform X2;LOC106560561;;28142,4;26623,1;;;;;13728,1;;;;;;50956,3;;75426,7;;;;;;;;;47290,1
A0A1S3KK62   ;Protein Niban;fam129a;Belongs to the Niban family;168839;135082;181716;130110;183291;191547;160934;149771;158723;145477;148659;166550;;;11436,2;24924,7;38324,6;172056;159217;201638;144495;174037;201222;134453,5696
A0A1S3KK78   ;Complement factor H-like;LOC106560550;;610090;404115;590816;225819;246387;262130;206606;361090;251858;362241;292179;276468;132006;120496;132407;136420;207888;352324;405667;457505;396499;395390;277752;291308,2692
A0A1S3KK89   ;Phospholipase A2;LOC106560559;;24410,1;23411,2;25896,4;17054,6;21345;18640,1;15116,4;16056,8;14375,7;27232;18304,1;15877,5;;;5080,02;12000,4;;23957,5;17587,4;22288,4;12595,5;19961,6;22080,7;18235,28667
A0A1S3KK91   ;Complement factor H-like;LOC106560552;;;25379,5;22050,4;;;;;26973,5;;;;;;;;;;;;;;;;24801,13333
A0A1S3KK93   ;Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta;LOC106560579;Belongs to the PDE6D/unc-119 family;47572,3;58920,9;43302,3;58459,1;41448,7;41024,1;29138;48143,8;47757,1;25561,8;30093;39156;60525,4;56021,9;58164,1;50209,2;54329,2;34275,9;41631,4;35938,5;28756,7;41472,4;35490;44267,26154
A0A1S3KK94   ;DENN domain-containing protein 1B-like;LOC106560563;;;6869,41;10832,5;9608,95;7289,05;9577,4;9875,6;9490,83;11955,3;8786,71;12038,8;8924,37;;;;;;8180,74;7542,47;6941,44;8861,41;8321,13;11060,5;9185,682941
A0A1S3KKC6   ;FERM, RhoGEF and pleckstrin domain-containing protein 2 isoform X1;farp2;;22008,8;29868,6;22889,8;29773,6;8920,17;27971,2;23177,1;34599,9;37703,1;;42190,3;41575,5;;;;;;19079,8;30383,3;11922,3;;31445,4;31696,9;27825,36063
A0A1S3KKC7   ;Lamin-B2;lmnb2;Belongs to the intermediate filament family;1057610;1021390;1085580;976623;914418;994485;746896;763350;725551;851496;772587;777759;1414790;1436470;1369840;1818160;1444880;1092880;982221;965052;1397720;1203180;1070820;1134858
A0A1S3KKC8   ;BRISC and BRCA1-A complex member 1;babam1;Belongs to the BABAM1 family;59967,5;18790,6;59098,3;14756,3;53241,4;51648,7;46930,1;22306,3;15265,4;49713,9;53876,6;34100,7;38982;43048,3;31221,4;51812,6;44439,1;57539;46506,4;53327,1;52994;52447,9;48554,1;43571,17692
A0A1S3KKE1   ;Protein mago nashi homolog;LOC106560432;Belongs to the mago nashi family;434786;429663;481213;424785;658239;595795;504684;390166;458811;580998;475737;483031;368868;344018;254173;223229;285970;474257;511041;490655;416283;436175;564171;424846,6154
A0A1S3KKE9   ;Histidine-rich glycoprotein-like;LOC106560588;;1103330;935428;1058060;654817;429649;413825;393995;768159;497115;699962;482386;488648;606861;509646;730367;691495;904586;1095000;693308;992284;1172480;705282;942751;745246
A0A1S3KKF0   ;Disks large homolog 1;dlg1;Belongs to the MAGUK family;95942,5;66653,7;69781,8;91242;98203,2;100089;68592,6;62349,3;74261,7;87966,7;77800;76976,5;60962,9;74300,6;60426,3;80514,2;69130,8;89194;78455;77383,5;86852,6;92680,2;77096;77792,67692
A0A1S3KKJ7   ;Phosducin-like protein isoform X2;pdcl;Belongs to the phosducin family;7654,99;;7462,43;;6546,21;;;5976,22;;;;;;;;;;;;8744,22;;;11173,8;7926,311667
A0A1S3KKK9   ;G protein pathway suppressor 2-like isoform X1;LOC106560688;;13034,3;13600,8;9759,25;11440,4;9704,15;9504,2;13305,3;14965,2;14836,3;7987,66;13157,1;11395;4881,51;;7213,83;;6902,68;16384,9;16798,8;22301,5;;11063,2;13231,1;11637,82682
A0A1S3KKP9   ;Phosphoglucomutase-1-like;LOC106560477;Belongs to the phosphohexose mutase family;13267,5;15857;14018,9;11150,7;14553,6;17310,9;15901,7;18092,4;16360,8;22514,7;17302,3;14226,4;;;;;;13818,9;13373,5;12842,4;10700,7;;12932,8;14954,42353
A0A1S3KKQ9   ;Vigilin;hdlbp;;471849;419142;479488;312382;333188;340939;297251;290350;288959;301316;280828;288239;126115;129086;152547;191998;192071;331861;325924;318487;375067;301155;290791;284971,0385
A0A1S3KKR9   ;Sex comb on midleg-like protein 2 isoform X1;LOC106560708;Belongs to the SCM family;;22998,3;;;22045,7;20145,7;23403,6;;;;;23437,4;;;;;;27629,9;;20913,7;;16105,4;22931;22178,96667
A0A1S3KKS2   ;Protein-associating with the carboxyl-terminal domain of ezrin;scyl3;Belongs to the protein kinase superfamily;28777,3;15642,5;24709,8;21417,4;23458,4;25561,5;23659;18409,4;16333,1;27492,1;26164;20614,5;;;;;;21711,6;20268,7;32695,5;;23719,9;25041,9;23275,09412
A0A1S3KKS4   ;CapZ-interacting protein-like isoform X1;LOC106560677;;5955,58;;10000,6;8915,53;13146,5;8986,7;4849,38;6729,02;10316;7367,87;9710,59;12241,7;8167,11;9949,72;7762,85;;;9317,46;9293,97;10362,3;9584,27;8322,44;8579,94;8961,023182
A0A1S3KKT1   ;allantoinase;LOC106560661;Belongs to the metallo-dependent hydrolases superfamily. Allantoinase family;78399,5;82247,2;84588,3;129483;157446;143440;84620,6;87263,3;74532,6;74713,9;84364,1;90277;9932,37;;12819,2;8418,74;12480,9;121379;126246;130767;129358;133809;124620;83801,91292
A0A1S3KKT8   ;protein kinase C;LOC106560658;Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily;54039;26443,8;62065,9;47297,4;63775,9;57062,9;67720,4;58938;52198,6;67410,4;75079,7;62484;32083,3;28753,7;36487,7;49206,1;27126,1;69164,3;47457,8;75997,1;75680,4;72825,2;71634,9;53383,76154
A0A1S3KKU1   ;Protein transport protein sec16;sec16a;Belongs to the SEC16 family;6024,78;8717,27;5528,38;8444,3;7594,95;7027,26;12499,8;9184,17;11638,3;12223,7;16503,6;17838,9;;;;;;10080,8;11605,5;7618,75;6556,83;17728,6;9297,45;10022,40263
A0A1S3KKW3   ;Probable rRNA-processing protein EBP2;LOC106560521;Belongs to the EBP2 family;16800,2;16352,2;34097,9;11945,9;21553;23300,2;18309,3;19509,8;13354,9;18478,1;13657,3;9622,83;4062,23;;;;2793,25;26327;25629;22160,3;18954,7;18686,5;25979,7;16875,24455
A0A1S3KKW8   ;26S proteasome non-ATPase regulatory subunit 5;psmd5;Belongs to the proteasome subunit S5B/HSM3 family;113671;108877;140668;102681;147721;130247;134508;119690;113570;191730;171281;141129;;;;;7916,5;147800;146237;156258;119661;137876;154753;130856,5526
A0A1S3KKY2   ;Transcription initiation factor TFIID subunit 6;LOC106560681;Belongs to the TAF6 family;26665,1;32096,6;25118,7;23837,1;23303;27574;28325,4;27943,7;28412,9;24803,1;26806,3;23378;;;5127,78;;;26674,1;27979,7;27044,1;21628,2;24678,3;26951,1;25176,16737
A0A1S3KKY3   ;COMM domain-containing protein 9 isoform X1;commd9;;33293,8;20978,6;34823,8;19301;32977,7;33270,4;30524,4;26670,1;21404,6;40781,2;39789,5;30458,7;;11915,1;7595,84;;6927,08;35634,4;41063,4;38523,3;43693,1;29559,6;35699,7;29280,25333
A0A1S3KKY9   ;Calcium signal-modulating cyclophilin ligand-like;LOC106560687;;;;;;;;;;;;;;;;;;;;9335,79;;;;;9335,79
A0A1S3KL11   ;Junctional adhesion molecule A;LOC106560694;Belongs to the immunoglobulin superfamily;103438;82902;106480;88550,2;116600;97706;85613,6;73741,7;69637,1;98837,8;81141,9;85176,1;131439;134023;141475;149399;144869;103152;100968;89413;121940;96451;86537,4;108960,6846
A0A1S3KL16   ;LOW QUALITY PROTEIN: complement factor H-related protein 5;cfhr5;;;;;;;;;51635,8;25482,4;22358,1;29593;19788,8;;;;;;;;;;;;29771,62
A0A1S3KL27   ;Actin-related protein 2/3 complex subunit 5;LOC106560562;Belongs to the ARPC5 family;106584;69944,1;105414;91951,4;95743;103739;68994,7;59640,2;81228,4;123467;99182,1;81195,8;17723,5;19118,7;16542;36212;30803,6;140616;111329;103866;166459;125398;111414;78697,31154
A0A1S3KL30   ;L-fucose kinase;fuk;Belongs to the GHMP kinase family;30441;35501;36113,6;51193,4;47583,1;49607,6;59964,3;64791;59304,1;57901,2;51640,2;57832,2;;;;;;34240,8;41163,9;38795,5;25903,2;33566,1;36698,1;45124,46111
A0A1S3KL34   ;Tumor susceptibility gene 101 protein;tsg101;Belongs to the ubiquitin-conjugating enzyme family. UEV subfamily;141056;138871;131658;150830;144066;145580;109923;118762;116181;127336;134989;119316;223430;256630;177274;257001;216114;133067;131650;128627;132162;143881;141561;162843,5385
A0A1S3KL41   ;Nucleosome assembly protein 1-like 4 isoform X5;LOC106560703;Belongs to the nucleosome assembly protein (NAP) family;919302;885843;888625;1045090;1104810;1161600;1028490;1019410;988728;1013980;1043300;962845;198414;195430;229130;162273;177161;945661;1004430;938578;908214;1067140;1030990;749576,6154
